fund_code,fund_name,base_date,class_label,class_code,account_type,channel,front_load_text,fee_total,fee_distribution,fee_peer_avg,fee_total_cost,chunk_id,page,source_path
KR5113420069,한국투자 크레딧포커스 ESG 증권 자투자신탁 1호(채권),2025-11-28,수수료선 취-오프 라인 (A),A,,오프라인,,0.391,,,,KR5113420069_p6_0010,6,투자설명서 복사본/KR5113420069/R2_KR5113420069.pdf
KR5113450401,한국투자 중소밸류 증권 자투자신탁(주식),2025-08-29,수수료 선취-오 프라인 (A),A,,오프라인,,1.3,,,,KR5113450401_p6_0010,6,투자설명서 복사본/KR5113450401/R2_KR5113450401.pdf
KR5114420016,삼성ABF코리아장기채권인덱스증권투자신탁[채권],2025-05-30,수수료미징구-오프라인-기 관(A),A,,오프라인,없음,0.235,0.05,,0.2863,KR5114420016_p7_0012,7,투자설명서 복사본/KR5114420016/R2_KR5114420016.pdf
KR5114420016,삼성ABF코리아장기채권인덱스증권투자신탁[채권],2025-05-30,수수료미징구-오프라인-개 인연금(C-P),C-P,연금저축,오프라인,없음,0.559,0.374,,0.6099,KR5114420016_p7_0012,7,투자설명서 복사본/KR5114420016/R2_KR5114420016.pdf
KR5114420016,삼성ABF코리아장기채권인덱스증권투자신탁[채권],2025-05-30,수수료미징구-오프라인(R),R,,오프라인,없음,0.6,0.415,,0.6488,KR5114420016_p7_0012,7,투자설명서 복사본/KR5114420016/R2_KR5114420016.pdf
KR5114420016,삼성ABF코리아장기채권인덱스증권투자신탁[채권],2025-05-30,수수료선취-오프라인(R-A),R-A,,오프라인,납입금액의 0.3% 이내,0.4,0.215,,0.4566,KR5114420016_p7_0012,7,투자설명서 복사본/KR5114420016/R2_KR5114420016.pdf
KR5114420016,삼성ABF코리아장기채권인덱스증권투자신탁[채권],2025-05-30,수수료후취-온라인슈퍼(S),S,,온라인슈퍼,3년 미만 환매시: 환매금액의 0.15% 이내,0.335,0.15,,0.3862,KR5114420016_p7_0012,7,투자설명서 복사본/KR5114420016/R2_KR5114420016.pdf
KR5114420022,삼성클래식연금증권전환형투자신탁 제1호[채권],2025-03-07,수수료미징구-오프라인-개 인연금(C),C,연금저축,오프라인,없음,0.95,0.65,0.39,0.9607,KR5114420022_p7_0011,7,투자설명서 복사본/KR5114420022/R2_KR5114420022.pdf
KR5114420022,삼성클래식연금증권전환형투자신탁 제1호[채권],2025-03-07,수수료미징구-온라인-개인 연금(Ce),Ce,연금저축,온라인,없음,0.625,0.325,0.25,0.6356,KR5114420022_p7_0011,7,투자설명서 복사본/KR5114420022/R2_KR5114420022.pdf
KR5114420027,삼성코리아중기채권증권자투자신탁 제1호[채권],2025-07-18,수수료선취-오프라인(A),A,,오프라인,납입금액의 100분의 0.3 이내,0.3,0.17,0.34,0.3144,KR5114420027_p7_0011,7,투자설명서 복사본/KR5114420027/R2_KR5114420027.pdf
KR5114420027,삼성코리아중기채권증권자투자신탁 제1호[채권],2025-07-18,수수료미징구-오프라인(C),C,,오프라인,없음,0.45,0.32,0.4,0.4618,KR5114420027_p7_0011,7,투자설명서 복사본/KR5114420027/R2_KR5114420027.pdf
KR5114420027,삼성코리아중기채권증권자투자신탁 제1호[채권],2025-07-18,수수료선취-온라인(Ae),Ae,,온라인,납입금액의 100분의 0.15 이 내,0.215,0.085,0.25,0.2295,KR5114420027_p7_0011,7,투자설명서 복사본/KR5114420027/R2_KR5114420027.pdf
KR5114420027,삼성코리아중기채권증권자투자신탁 제1호[채권],2025-07-18,수수료미징구-온라인(Ce),Ce,,온라인,없음,0.289,0.159,0.26,0.3035,KR5114420027_p7_0011,7,투자설명서 복사본/KR5114420027/R2_KR5114420027.pdf
KR5114420027,삼성코리아중기채권증권자투자신탁 제1호[채권],2025-07-18,수수료미징구-오프라인-개 인연금(C-P),C-P,연금저축,오프라인,없음,0.43,0.3,,0.4444,KR5114420027_p7_0011,7,투자설명서 복사본/KR5114420027/R2_KR5114420027.pdf
KR5114420027,삼성코리아중기채권증권자투자신탁 제1호[채권],2025-07-18,수수료미징구-온라인-개인 연금(C-Pe),C-Pe,연금저축,온라인,없음,0.29,0.16,,0.3047,KR5114420027_p7_0011,7,투자설명서 복사본/KR5114420027/R2_KR5114420027.pdf
KR5114420046,삼성퇴직연금인덱스12M증권자투자신탁 제1호[채권],2026-01-13,수수료미징구-오프라인-퇴 직연금(C),C,퇴직연금,오프라인,없음,0.42,0.28,0.4,0.4313,KR5114420046_p7_0011,7,투자설명서 복사본/KR5114420046/R2_KR5114420046.pdf
KR5114420046,삼성퇴직연금인덱스12M증권자투자신탁 제1호[채권],2026-01-13,수수료미징구-온라인-퇴직 연금(Ce),Ce,퇴직연금,온라인,없음,0.28,0.14,0.26,0.2913,KR5114420046_p7_0011,7,투자설명서 복사본/KR5114420046/R2_KR5114420046.pdf
KR5114420046,삼성퇴직연금인덱스12M증권자투자신탁 제1호[채권],2026-01-13,"수수료미징구-오프라인-기 관,퇴직연금(Cf)",Cf,퇴직연금,오프라인,없음,0.17,0.03,,0.17,KR5114420046_p7_0011,7,투자설명서 복사본/KR5114420046/R2_KR5114420046.pdf
KR5114450222,삼성클래식연금증권전환형자투자신탁 제1호[주식],2025-01-24,수수료미징구-오프라인-개 인연금(C),C,연금저축,오프라인,없음,1.47,0.95,1.59,1.4742,KR5114450222_p7_0012,7,투자설명서 복사본/KR5114450222/R2_KR5114450222.pdf
KR5114450222,삼성클래식연금증권전환형자투자신탁 제1호[주식],2025-01-24,수수료미징구-온라인-개인 연금(Ce),Ce,연금저축,온라인,없음,0.995,0.475,1.17,0.999,KR5114450222_p7_0012,7,투자설명서 복사본/KR5114450222/R2_KR5114450222.pdf
KR5114450222,삼성클래식연금증권전환형자투자신탁 제1호[주식],2025-01-24,수수료미징구-온라인슈퍼- 개인연금(S-P),S-P,연금저축,온라인슈퍼,없음,0.8,0.28,,0.8022,KR5114450222_p7_0012,7,투자설명서 복사본/KR5114450222/R2_KR5114450222.pdf
KR5114450270,삼성퇴직연금KOSPI200증권자투자신탁 제1호[주식],2026-01-13,수수료미징구-오프라인-퇴 직연금(C),C,퇴직연금,오프라인,없음,0.59,0.4,1.6,0.6146,KR5114450270_p7_0012,7,투자설명서 복사본/KR5114450270/R2_KR5114450270.pdf
KR5114450270,삼성퇴직연금KOSPI200증권자투자신탁 제1호[주식],2026-01-13,수수료미징구-온라인-퇴직 연금(Ce),Ce,퇴직연금,온라인,없음,0.39,0.2,1.14,0.4148,KR5114450270_p7_0012,7,투자설명서 복사본/KR5114450270/R2_KR5114450270.pdf
KR5114450270,삼성퇴직연금KOSPI200증권자투자신탁 제1호[주식],2026-01-13,"수수료미징구-오프라인-기 관,퇴직연금(Cf)",Cf,퇴직연금,오프라인,없음,0.22,0.03,,0.22,KR5114450270_p7_0012,7,투자설명서 복사본/KR5114450270/R2_KR5114450270.pdf
KR5114450270,삼성퇴직연금KOSPI200증권자투자신탁 제1호[주식],2026-01-13,수수료미징구-온라인슈퍼- 퇴직연금(Sp),Sp,퇴직연금,온라인슈퍼,없음,0.35,0.16,,0.3741,KR5114450270_p7_0012,7,투자설명서 복사본/KR5114450270/R2_KR5114450270.pdf
KR5116501001,명 칭 금융투자협회 펀드코드,2021-02-01,수수료미징구-온라인-,,,온라인,-,0.385,0.15,,,KR5116501001_p5_0010,5,투자설명서 복사본/KR5116501001/R2_KR5116501001.pdf
KR5117420097,신한초단기채증권투자신탁[채권],2025-08-07,수수료선취 - 오프라인(A1),A1,,오프라인,납입금액 의 0.300% 이내,0.18,0.1,0.31,0.1882,KR5117420097_p4_0006,4,투자설명서 복사본/KR5117420097/R2_KR5117420097.pdf
KR5117420097,신한초단기채증권투자신탁[채권],2025-08-07,수수료미징구 - 오프라인(C1),C1,,오프라인,없음,0.38,0.3,0.39,0.3888,KR5117420097_p4_0006,4,투자설명서 복사본/KR5117420097/R2_KR5117420097.pdf
KR5117420097,신한초단기채증권투자신탁[채권],2025-08-07,수수료선취 - 온라인(A-e),A-e,,온라인,납입금액 의 0.150% 이내,0.13,0.05,0.23,0.1384,KR5117420097_p4_0006,4,투자설명서 복사본/KR5117420097/R2_KR5117420097.pdf
KR5118201004,우리하이플러스채권증권자투자신탁1호(채권),2025-10-31,수수료선취- 오프라인(B),B,,오프라인,납입금액의 0.3%이내,0.392,,0.34,0.4017,KR5118201004_p4_0008,4,투자설명서 복사본/KR5118201004/R2_KR5118201004.pdf
KR5118201004,우리하이플러스채권증권자투자신탁1호(채권),2025-10-31,수수료미징구- 오프라인(A),A,,오프라인,없음,0.59,,0.4,0.5997,KR5118201004_p4_0008,4,투자설명서 복사본/KR5118201004/R2_KR5118201004.pdf
KR5118201004,우리하이플러스채권증권자투자신탁1호(채권),2025-10-31,수수료선취- 온라인(B-e),B-e,,온라인,납입금액의 0.15%이내,0.292,,0.25,0.3018,KR5118201004_p4_0008,4,투자설명서 복사본/KR5118201004/R2_KR5118201004.pdf
KR5118201004,우리하이플러스채권증권자투자신탁1호(채권),2025-10-31,수수료미징구- 온라인(A-e),A-e,,온라인,없음,0.391,,0.27,0.4007,KR5118201004_p4_0008,4,투자설명서 복사본/KR5118201004/R2_KR5118201004.pdf
KR5118201004,우리하이플러스채권증권자투자신탁1호(채권),2025-10-31,수수료미징구- 오프라인- 퇴직연금(C-P),C-P,퇴직연금,오프라인,없음,0.352,,,0.3617,KR5118201004_p4_0008,4,투자설명서 복사본/KR5118201004/R2_KR5118201004.pdf
KR5118420006,우리나라초단기채권증권투자신탁[채권],2025-10-31,수수료선취- 오프라인(A1),A1,,오프라인,납입금액의 0.30% 이내,0.2,,0.34,0.2095,KR5118420006_p4_0007,4,투자설명서 복사본/KR5118420006/R2_KR5118420006.pdf
KR5118420006,우리나라초단기채권증권투자신탁[채권],2025-10-31,수수료미징구- 오프라인(C),C,,오프라인,없음,0.4,,0.4,0.4095,KR5118420006_p4_0007,4,투자설명서 복사본/KR5118420006/R2_KR5118420006.pdf
KR5118420006,우리나라초단기채권증권투자신탁[채권],2025-10-31,수수료선취- 오프라인(A2),A2,,오프라인,납입금액의 0.20% 이내,0.3,,0.34,0.3095,KR5118420006_p4_0007,4,투자설명서 복사본/KR5118420006/R2_KR5118420006.pdf
KR5118420062,우리단기채권증권투자신탁(채권),2025-10-31,수수료선취- 오프라인(A),A,,오프라인,납입금액의 0.05%이내,0.25,,0.34,0.2594,KR5118420062_p4_0008,4,투자설명서 복사본/KR5118420062/R2_KR5118420062.pdf
KR5118420062,우리단기채권증권투자신탁(채권),2025-10-31,수수료미징구- 오프라인(C),C,,오프라인,없음,0.45,,0.4,0.4594,KR5118420062_p4_0008,4,투자설명서 복사본/KR5118420062/R2_KR5118420062.pdf
KR5118420062,우리단기채권증권투자신탁(채권),2025-10-31,수수료선취- 온라인(A-e),A-e,,온라인,납입금액의 0.03%이내,0.2,,0.25,0.2094,KR5118420062_p4_0008,4,투자설명서 복사본/KR5118420062/R2_KR5118420062.pdf
KR5118420062,우리단기채권증권투자신탁(채권),2025-10-31,수수료미징구- 온라인(C-e),C-e,,온라인,없음,0.275,,0.27,0.2844,KR5118420062_p4_0008,4,투자설명서 복사본/KR5118420062/R2_KR5118420062.pdf
KR5118420062,우리단기채권증권투자신탁(채권),2025-10-31,수수료미징구- 오프라인- 퇴직연금(C-P),C-P,퇴직연금,오프라인,없음,0.33,,,0.3394,KR5118420062_p4_0008,4,투자설명서 복사본/KR5118420062/R2_KR5118420062.pdf
KR5119450058,신한코리아롱숏증권자투자신탁[주식],2025-02-14,수수료선취 - 오프라인(A1),A1,,오프라인,납입금액 의 1.000% 이내,1.39,0.7,1.4,1.454,KR5119450058_p6_0012,6,투자설명서 복사본/KR5119450058/R2_KR5119450058.pdf
KR5119450058,신한코리아롱숏증권자투자신탁[주식],2025-02-14,수수료미징구 - 오프라인 - 보수체감(C1),C1,,오프라인,없음,1.89,1.2,1.59,1.9534,KR5119450058_p6_0012,6,투자설명서 복사본/KR5119450058/R2_KR5119450058.pdf
KR5119450058,신한코리아롱숏증권자투자신탁[주식],2025-02-14,수수료선취 - 온라인(A-e),A-e,,온라인,납입금액 의 0.500% 이내,1.04,0.35,1.05,1.1044,KR5119450058_p6_0012,6,투자설명서 복사본/KR5119450058/R2_KR5119450058.pdf
KR5119450058,신한코리아롱숏증권자투자신탁[주식],2025-02-14,수수료미징구 - 온라인(C-e),C-e,,온라인,없음,1.19,0.5,1.19,1.2544,KR5119450058_p6_0012,6,투자설명서 복사본/KR5119450058/R2_KR5119450058.pdf
KR5119501001,신한퇴직연금국공채증권자투자신탁[채권],2025-08-07,수수료미징구 - 오프라인 - 퇴직연금 (C1),C1,퇴직연금,오프라인,없음,0.45,0.27,0.39,0.4586,KR5119501001_p4_0007,4,투자설명서 복사본/KR5119501001/R2_KR5119501001.pdf
KR5119501001,신한퇴직연금국공채증권자투자신탁[채권],2025-08-07,수수료미징구 - 온라인 - 퇴직연금 (C-e),C-e,퇴직연금,온라인,없음,0.315,0.135,0.25,0.3222,KR5119501001_p4_0007,4,투자설명서 복사본/KR5119501001/R2_KR5119501001.pdf
KR5119520012,신한상대가치장기증권자투자신탁[채권],2025-02-20,수수료선취 - 오프라인(A1),A1,,오프라인,납입금액 의 0.300% 이내,0.45,0.2,0.31,0.4523,KR5119520012_p5_0010,5,투자설명서 복사본/KR5119520012/R2_KR5119520012.pdf
KR5119520012,신한상대가치장기증권자투자신탁[채권],2025-02-20,수수료미징구 - 오프라인(C1),C1,,오프라인,없음,0.65,0.4,0.39,0.6523,KR5119520012_p5_0010,5,투자설명서 복사본/KR5119520012/R2_KR5119520012.pdf
KR5119520012,신한상대가치장기증권자투자신탁[채권],2025-02-20,수수료선취 - 온라인(A-e),A-e,,온라인,납입금액 의 0.150% 이내,0.35,0.1,0.23,0.3523,KR5119520012_p5_0010,5,투자설명서 복사본/KR5119520012/R2_KR5119520012.pdf
KR5119520012,신한상대가치장기증권자투자신탁[채권],2025-02-20,수수료미징구 - 온라인(C-e),C-e,,온라인,없음,0.44,0.19,0.25,0.4423,KR5119520012_p5_0010,5,투자설명서 복사본/KR5119520012/R2_KR5119520012.pdf
KR5120420039,교보악사 Tomorrow 장기우량 증권투자신탁 K-1호(채권),2025-09-04,수수료선취-오프라인(A2),A2,,오프라인,,0.3195,0.2,,,KR5120420039_p5_0009,5,투자설명서 복사본/KR5120420039/R2_KR5120420039.pdf
KR5120420039,교보악사 Tomorrow 장기우량 증권투자신탁 K-1호(채권),2025-09-04,수수료미징구-오프라인형(C1),C1,,오프라인,,0.4195,0.3,,,KR5120420039_p5_0009,5,투자설명서 복사본/KR5120420039/R2_KR5120420039.pdf
KR5120420039,교보악사 Tomorrow 장기우량 증권투자신탁 K-1호(채권),2025-09-04,수수료선취-온라인형(Ae),Ae,,온라인,,0.2195,0.1,,,KR5120420039_p5_0009,5,투자설명서 복사본/KR5120420039/R2_KR5120420039.pdf
KR5120420039,교보악사 Tomorrow 장기우량 증권투자신탁 K-1호(채권),2025-09-04,수수료미징구-온라인형(C-E),C-E,,온라인,,0.2695,0.15,,,KR5120420039_p5_0009,5,투자설명서 복사본/KR5120420039/R2_KR5120420039.pdf
KR5120420039,교보악사 Tomorrow 장기우량 증권투자신탁 K-1호(채권),2025-09-04,수수료선취-오프라 인-고액(A),A,,오프라인,,0.1195,,,0.1301,KR5120420039_p40_0091,40,투자설명서 복사본/KR5120420039/R2_KR5120420039.pdf
KR5120420039,교보악사 Tomorrow 장기우량 증권투자신탁 K-1호(채권),2025-09-04,수수료미징구-오프 라인-고액(C2),C2,,오프라인,,0.3195,,,0.3289,KR5120420039_p40_0091,40,투자설명서 복사본/KR5120420039/R2_KR5120420039.pdf
KR5120420039,교보악사 Tomorrow 장기우량 증권투자신탁 K-1호(채권),2025-09-04,수수료미징구-오프 라인-랩(CW),CW,,오프라인,,0.1195,,,0.1301,KR5120420039_p40_0091,40,투자설명서 복사본/KR5120420039/R2_KR5120420039.pdf
KR5120420039,교보악사 Tomorrow 장기우량 증권투자신탁 K-1호(채권),2025-09-04,수수료미징구-오프 라인-주택마련 (C4(장마)),C4,,오프라인,,0.3195,,,0.3195,KR5120420039_p40_0091,40,투자설명서 복사본/KR5120420039/R2_KR5120420039.pdf
KR5120420039,교보악사 Tomorrow 장기우량 증권투자신탁 K-1호(채권),2025-09-04,수수료미징구-오프 라인-기관(CF),CF,,오프라인,,0.1695,,,0.1801,KR5120420039_p40_0091,40,투자설명서 복사본/KR5120420039/R2_KR5120420039.pdf
KR5120420039,교보악사 Tomorrow 장기우량 증권투자신탁 K-1호(채권),2025-09-04,수수료미징구-오프 라인-퇴직연금(CP),CP,퇴직연금,오프라인,,0.3195,,,0.3299,KR5120420039_p40_0091,40,투자설명서 복사본/KR5120420039/R2_KR5120420039.pdf
KR5120420039,교보악사 Tomorrow 장기우량 증권투자신탁 K-1호(채권),2025-09-04,수수료선취-오프라 인-고액(A-i),A-i,,오프라인,,0.1495,,,0.1601,KR5120420039_p40_0091,40,투자설명서 복사본/KR5120420039/R2_KR5120420039.pdf
KR5120420039,교보악사 Tomorrow 장기우량 증권투자신탁 K-1호(채권),2025-09-04,수수료미징구-오프 라인-개인연금(C- P2),C-P2,연금저축,오프라인,,0.3695,,,0.3802,KR5120420039_p40_0091,40,투자설명서 복사본/KR5120420039/R2_KR5120420039.pdf
KR5120420039,교보악사 Tomorrow 장기우량 증권투자신탁 K-1호(채권),2025-09-04,수수료미징구-온라 인(CE),CE,,온라인,,0.2695,,0.27,0.2796,KR5120420039_p40_0091,40,투자설명서 복사본/KR5120420039/R2_KR5120420039.pdf
KR5120420039,교보악사 Tomorrow 장기우량 증권투자신탁 K-1호(채권),2025-09-04,수수료후취-온라인 슈퍼(S),S,,온라인슈퍼,,0.2095,,,0.2198,KR5120420039_p40_0091,40,투자설명서 복사본/KR5120420039/R2_KR5120420039.pdf
KR5120420039,교보악사 Tomorrow 장기우량 증권투자신탁 K-1호(채권),2025-09-04,수수료미징구-온라,,,,,0.1995,,,0.2102,KR5120420039_p40_0091,40,투자설명서 복사본/KR5120420039/R2_KR5120420039.pdf
KR5120420091,교보악사 내일환매 초단기우량채증권투자신탁[채권],2025-12-20,수수료선취-오프라인(A),A,,오프라인,수수료선취-오프라인(A),0.345,,,,KR5120420091_p5_0010,5,투자설명서 복사본/KR5120420091/R2_KR5120420091.pdf
KR5120420091,교보악사 내일환매 초단기우량채증권투자신탁[채권],2025-12-20,수수료미징구-오프라인형(C),C,,오프라인,수수료미징구-오프라인형(C),0.425,,,,KR5120420091_p5_0010,5,투자설명서 복사본/KR5120420091/R2_KR5120420091.pdf
KR5120420091,교보악사 내일환매 초단기우량채증권투자신탁[채권],2025-12-20,수수료선취-온라인형(Ae),Ae,,온라인,수수료선취-온라인형(Ae),0.235,,,,KR5120420091_p5_0010,5,투자설명서 복사본/KR5120420091/R2_KR5120420091.pdf
KR5120420091,교보악사 내일환매 초단기우량채증권투자신탁[채권],2025-12-20,수수료미징구-온라인형(Ce),Ce,,온라인,수수료미징구-온라인형(Ce),0.275,,,,KR5120420091_p5_0010,5,투자설명서 복사본/KR5120420091/R2_KR5120420091.pdf
KR5120451001,교보악사 파워인덱스증권자투자신탁 2호[주식],2025-06-03,수수료선취-오프라인형(A1),A1,,오프라인,,0.385,0.22,,,KR5120451001_p5_0009,5,투자설명서 복사본/KR5120451001/R2_KR5120451001.pdf
